"","year","rgdp_per_cap","awe","gdp_def","cpi","real_prod_wage","house_afford"
"181",1981,0.0364,233.42,29.9,49.4,7.81,234
"182",1982,0.037,262.55,33.4,54.6,7.86,220
"183",1983,0.0356,291.98,36.8,60.9,7.93,208
"184",1984,0.0368,316.85,39.7,65,7.98,216
"185",1985,0.0382,338.48,41.7,67.8,8.12,221
"186",1986,0.0394,358.5,44,73.5,8.15,224
"187",1987,0.0398,380.7,47.1,80.4,8.08,220
"188",1988,0.0414,403.75,50.7,86.3,7.96,247
"189",1989,0.0423,431.05,55.3,92.6,7.79,312
"190",1990,0.0431,459.7,58.7,100,7.83,298
"191",1991,0.0424,486.65,60.5,105.3,8.04,283
"192",1992,0.0421,500.75,61.3,107.3,8.17,282
"193",1993,0.0434,510.98,61.8,108.4,8.27,284
"194",1994,0.0447,525.75,62.5,110.4,8.41,286
"195",1995,0.046,544.65,63.8,113.9,8.54,281
"196",1996,0.0473,558.45,65.5,118.7,8.53,277
"197",1997,0.0486,574.58,66.3,120.3,8.67,278
"198",1998,0.0503,592.17,67.1,120.3,8.83,296
"199",1999,0.0522,606.08,67.4,121.8,8.99,308
"200",2000,0.0536,619.14,69.2,124.7,8.95,332
"201",2001,0.054,651.8,72.5,132.2,8.99,341
"202",2002,0.0554,678.04,74.5,136,9.1,395
"203",2003,0.0565,707.2,76.6,140.2,9.23,442
"204",2004,0.0582,740.06,78.9,143.5,9.38,461
"205",2005,0.0594,770.95,82,147,9.4,451
"206",2006,0.0604,809.06,85.9,151.7,9.42,462
"207",2007,0.0617,845.8,90.1,156.1,9.39,487
"208",2008,0.0628,879,94.3,161.4,9.32,507
"209",2009,0.0625,912.77,99.1,166.4,9.21,485
"210",2010,0.0627,961.48,100,170.3,9.61,544
